,region,date,ano,trimestre,fgt0,fgt1,fgt2,a25,a50,a75,ingreso_promedio,ingreso_mediana,salario_minimo,kaitz_indice,time,kaitz_pre,treated,event_time,event_id,unit_id
2903,Guayas,2010-07-01,2010,3,0.334663203428895,0.129315511377675,0.0707390420697121,0.0751394211387281,0.145547211570945,0.216381383741447,143.929028854517,109.436000980044,240.0,2.1930625922978,39,2.48811616606276,1,1,36,Guayas_e36
2904,Guayas,2010-10-01,2010,4,0.328814313400731,0.115785039831306,0.0610045990990251,0.0608479545653837,0.118427644703949,0.175417706511595,134.59670314765,110.605090353834,240.0,2.16988204821515,40,2.48811616606276,1,2,36,Guayas_e36
2905,Guayas,2011-01-01,2011,1,0.339426786119319,0.122399029193181,0.0629017222169219,0.0539744332947217,0.106378432648853,0.160338241339628,121.338491565737,102.51612637013,264.0,2.57520459802431,41,2.48811616606276,1,3,36,Guayas_e36
2906,Guayas,2011-04-01,2011,2,0.253014768219553,0.0970620974549614,0.0531457236949562,0.0519553250991809,0.102334934680445,0.153729439537512,133.150839650521,114.701140572371,264.0,2.30163360784916,42,2.48811616606276,1,4,36,Guayas_e36
2907,Los Ríos,2009-04-01,2009,2,0.27801746413812,0.0820034321875111,0.0339546782318506,0.0349759303552939,0.0691911753669068,0.102583530641225,115.891762338185,90.9176018954341,218.0,2.39777551821842,34,2.05407732532616,0,-4,36,Los Ríos_e36
2908,Los Ríos,2009-07-01,2009,3,0.462025647625566,0.188641613094908,0.104670056309015,0.0759794634135624,0.149946277361755,0.226471712728505,118.738033822552,86.2658035407517,218.0,2.52707319763175,35,2.05407732532616,0,-3,36,Los Ríos_e36
2909,Los Ríos,2009-10-01,2009,4,0.48172107075758,0.188396136853898,0.0942335017601119,0.0475532608138698,0.0938995714148374,0.140326835878476,95.1336127857181,82.2798491293327,218.0,2.64949440606453,36,2.05407732532616,0,-2,36,Los Ríos_e36
2910,Los Ríos,2010-01-01,2010,1,0.246478091088751,0.0781447926279123,0.0431983821819687,0.0440428893312578,0.0880721084034373,0.132512677598759,132.793980046995,116.840781523106,240.0,2.05407732532616,37,2.05407732532616,0,-1,36,Los Ríos_e36
2911,Los Ríos,2010-04-01,2010,2,0.396094356570623,0.146232206009436,0.0772779518810239,0.0531125221214571,0.104755850040938,0.15531167383718,111.36254890723,96.2916011150626,240.0,2.49242921730229,38,2.05407732532616,0,0,36,Los Ríos_e36
2912,Los Ríos,2010-07-01,2010,3,0.336517475653943,0.135137194698971,0.0720602173234728,0.0655742953862641,0.129742893707813,0.19905270804107,129.655402236032,97.8152017077454,240.0,2.45360634962526,39,2.05407732532616,0,1,36,Los Ríos_e36
2913,Los Ríos,2010-10-01,2010,4,0.402693233520824,0.156561446813145,0.0861151238217252,0.055622277188822,0.109960239865606,0.164974944176352,110.097853873453,92.8154604367842,240.0,2.58577610745639,40,2.05407732532616,0,2,36,Los Ríos_e36
2914,Los Ríos,2011-01-01,2011,1,0.309095282043006,0.109059077531276,0.0504607697954432,0.0513526241858512,0.100961727277481,0.148762286595345,127.390912728767,106.205823471959,264.0,2.48573940081263,41,2.05407732532616,0,3,36,Los Ríos_e36
2915,Los Ríos,2011-04-01,2011,2,0.412354771858844,0.148270550436647,0.0733833038186927,0.0533182825277765,0.105082636075927,0.157609868748159,109.83050578424,90.2524485967652,264.0,2.92512839379587,42,2.05407732532616,0,4,36,Los Ríos_e36
2916,Manabí,2009-04-01,2009,2,0.408969077507565,0.149215758112909,0.081183849406034,0.0619013657880247,0.123870788199002,0.186065365723072,123.506074836657,101.959019296976,218.0,2.13811393541391,34,2.29924756667017,1,-4,36,Manabí_e36
2917,Manabí,2009-07-01,2009,3,0.475323016773922,0.195896579274128,0.108601901997904,0.0789845616912581,0.154815421098033,0.232663756988949,118.60416240903,88.7523443602876,218.0,2.45627314491024,35,2.29924756667017,1,-3,36,Manabí_e36
2918,Manabí,2009-10-01,2009,4,0.525574236140425,0.240346320920777,0.145366049004547,0.0744777961151739,0.147171557417185,0.218697576401357,98.7879260273028,77.2865871421729,218.0,2.82067054661085,36,2.29924756667017,1,-2,36,Manabí_e36
2919,Manabí,2010-01-01,2010,1,0.396660433906385,0.191493198230733,0.126047314086769,0.0801302867890267,0.166263311284227,0.272423288774277,127.277979032373,104.381974120157,240.0,2.29924756667017,37,2.29924756667017,1,-1,36,Manabí_e36
2920,Manabí,2010-04-01,2010,2,0.609768939269638,0.269726564799745,0.156949781333301,0.0813661454280256,0.156874465927041,0.229287730952914,90.6642658050883,67.206966915003,240.0,3.5710583443459,38,2.29924756667017,1,0,36,Manabí_e36
