RGNAL	AREA	RN	CIUDAD	ZONA	SECTOR	VIVIENDA	HOGAR	FORMUL	PERSONA	NUMPERS	RESUMEN	RELJEFE	EDAD	SEXO	NIVINST	ANOINST	ASISTEA	SABELE	IESS	DONNAC	LUGNAC	SIEMVIC	DONVIAN	LUGVIAN	CUANVIC	TRABAJO	ACTAYUDA	HORTRASA	RATMEH	HORMAS	RATMAH	AUNOTRA	PORNOT	BUSTRASA	BUSTRAMA	SITIOS	AMIGOS	DIRECTO	PRENSA	AGEPU	AGEPRI	TRESNE	TIEMBUS	MOTNOBUS	DESEATRA	CONDINA	TRABANT	MOTNOTRA	TIEMNOT	RAMA	GRUPO	CATETRAB	PERTRABN	NPERTRA	NUMTRAB	ESTABIL	HORTRAHP	HORTRAHS	HORTRAHO	RAMAS	GRUPOS	CATES	INGPAT	PAT	RETPAT	INGASA	RETASA	INGASA1	ASA	INGASA2	INGSEC	SEC	RETSEC	INV	INGINV	JUB	INGJUB	OTR	INGOTR	BON	INGBON	NOV	DIC	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	VIVEFE	INGRL	SECINS	SUBEQU	FEXP	CONDACT	PEAMSIU
4	1	1	010150	001	004	07	1	1	3	7	1	7	21	2	4	4	2	1	2	2	180150	2	1	180150	20	1	 	36	1	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	9500	9131	12	1	1	3	4	36	 	 	0	0	 	 	 	0	50	0	50	2	0	0	 	0	2	0	2	0	2	 	2	0	1	1	1	1	1	1	1	1	1	1	1	1	075	50	0	100	107,040833	3	4
4	1	1	010150	001	004	07	1	1	4	7	1	7	19	2	4	5	1	1	2	1	 	1	 	 	19	1	 	40	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	5219	5220	2	1	3	3	2	40	 	 	0	0	 	 	 	0	40	0	40	2	0	0	 	0	2	0	2	0	2	 	2	0	1	1	1	1	1	1	1	1	1	1	1	1	075	40	0	586	107,040833	4	2
4	1	1	010150	001	004	07	1	1	5	7	1	7	16	2	4	2	1	1	2	1	 	1	 	 	16	2	12	 	 	 	 	2	 	2	2	 	 	 	 	 	 	 	 	6	 	5	 	 	 	0	0	 	 	 	 	 	 	 	 	0	0	 	 	 	0	0	0	0	 	0	0	 	0	2	0	2	0	2	 	2	0	3	3	3	3	3	3	3	3	3	3	3	3	075	0	0	0	107,040833	7	 
4	1	1	010150	001	004	07	1	1	6	7	1	7	14	2	4	1	1	1	2	1	 	1	 	 	14	2	12	 	 	 	 	2	 	2	2	 	 	 	 	 	 	 	 	6	 	5	 	 	 	0	0	 	 	 	 	 	 	 	 	0	0	 	 	 	0	0	0	0	 	0	0	 	0	2	0	2	0	2	 	2	0	3	3	3	3	3	3	3	3	3	3	3	3	075	0	0	0	107,040833	7	 
4	1	1	010150	001	004	07	1	1	7	7	1	7	1	2	 	 	 	 	 	 	 	0	 	 	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 	0	0	 	 	 	0	0	0	0	 	0	0	 	0	 	0	 	0	 	 	 	0	0	0	0	0	0	0	0	0	0	0	0	0	075	 	0	0	107,040833	8	 
4	1	1	010150	001	004	08	1	1	1	4	1	1	32	1	3	6	2	1	2	2	110550	2	1	030450	4	1	 	10	1	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	4520	7135	3	1	2	3	4	30	 	 	0	0	 	 	 	0	80	16	86	2	0	0	 	0	2	0	2	0	2	 	2	0	1	1	1	1	1	1	1	1	1	1	1	1	082	86	1	750	107,040833	4	2
4	1	1	010150	001	004	08	1	1	2	4	1	2	32	2	3	6	2	1	2	2	110550	2	1	030450	4	2	12	 	 	 	 	2	 	2	1	 	 	 	6	 	 	 	36	 	 	 	1	4	36	3694	7346	2	1	2	5	 	 	 	 	0	0	 	 	 	0	0	0	0	 	0	0	 	0	2	0	2	0	2	 	2	0	3	3	3	3	3	3	3	3	3	3	3	3	082	0	0	0	107,040833	5	1
4	1	1	010150	001	004	08	1	1	3	4	1	3	5	1	3	 	1	 	 	2	091050	2	1	030450	3	2	12	 	 	 	 	2	 	2	2	 	 	 	 	 	 	 	 	8	 	5	 	 	 	0	0	 	 	 	 	 	 	 	 	0	0	 	 	 	0	0	0	0	 	0	0	 	0	2	0	2	0	2	 	2	0	3	3	3	3	3	3	3	3	3	3	3	3	082	 	0	0	107,040833	8	 
4	1	1	010150	001	004	08	1	1	4	4	1	3	3	1	 	 	 	 	 	 	 	0	 	 	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 	0	0	 	 	 	0	0	0	0	 	0	0	 	0	 	0	 	0	 	 	 	0	0	0	0	0	0	0	0	0	0	0	0	0	082	 	0	0	107,040833	8	 
4	1	1	010150	001	004	09	1	1	1	6	1	1	49	1	5	2	2	1	2	3	500105	2	2	500105	19	1	 	77	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	5239	5220	4	1	3	3	 	77	 	 	0	0	 	250	2	0	0	0	0	 	0	0	 	0	1	80	2	0	1	210	2	0	1	1	1	1	1	1	1	1	1	1	1	1	098	250	1	0	107,040833	4	2
